alg,m,p,t
circ_ff,23,4,85
circ_ff,23,8,64
circ_ff,23,16,61
circ_ff,23,32,66
circ_ff,23,64,87
circ_ff,23,128,145
circ_omp,23,1,153
circ_omp,23,2,77
circ_omp,23,4,40
circ_omp,23,8,21
circ_omp,23,16,12
circ_omp,23,32,12
circ_omp,23,64,7
circ_omp,23,128,8
circ_stl,23,1,168
circ_stl,23,2,92
circ_stl,23,4,56
circ_stl,23,8,54
circ_stl,23,16,60
circ_stl,23,32,118
circ_stl,23,64,178
circ_stl,23,128,271
seq_stl,23,1,22
block_cilk,24,1,58
block_cilk,24,2,40
block_cilk,24,4,29
block_cilk,24,8,37
block_cilk,24,16,23
block_cilk,24,32,28
block_cilk,24,64,52
block_cilk,24,128,89
block_ff,24,1,97
block_ff,24,2,74
block_ff,24,4,58
block_ff,24,8,45
block_ff,24,16,45
block_ff,24,32,52
block_ff,24,64,67
block_ff,24,128,102
block_omp,24,1,46
block_omp,24,2,35
block_omp,24,4,17
block_omp,24,8,9
block_omp,24,16,7
block_omp,24,32,4
block_omp,24,64,5
block_omp,24,128,6
block_stl,24,1,46
block_stl,24,2,35
block_stl,24,4,18
block_stl,24,8,11
block_stl,24,16,10
block_stl,24,32,14
block_stl,24,64,24
block_stl,24,128,45
circ_cilk,24,1,316
circ_cilk,24,2,164
circ_cilk,24,4,88
circ_cilk,24,8,72
circ_cilk,24,16,58
circ_cilk,24,32,72
circ_cilk,24,64,111
circ_cilk,24,128,193
circ_ff,24,1,349
circ_ff,24,2,220
circ_ff,24,4,131
circ_ff,24,8,91
circ_ff,24,16,75
circ_ff,24,32,79
circ_ff,24,64,96
circ_ff,24,128,149
circ_omp,24,1,305
circ_omp,24,2,158
circ_omp,24,4,81
circ_omp,24,8,44
circ_omp,24,16,34
circ_omp,24,32,24
circ_omp,24,64,17
circ_omp,24,128,16
circ_stl,24,1,336
circ_stl,24,2,174
circ_stl,24,4,98
circ_stl,24,8,73
circ_stl,24,16,63
circ_stl,24,32,133
circ_stl,24,64,198
circ_stl,24,128,323
seq_stl,24,1,44
block_cilk,25,1,89
block_cilk,25,2,68
block_cilk,25,4,51
block_cilk,25,8,46
block_cilk,25,16,45
block_cilk,25,32,42
block_cilk,25,64,67
block_cilk,25,128,104
block_ff,25,1,174
block_ff,25,2,110
block_ff,25,4,79
block_ff,25,8,57
block_ff,25,16,55
block_ff,25,32,58
block_ff,25,64,70
block_ff,25,128,104
block_omp,25,1,92
block_omp,25,2,68
block_omp,25,4,34
block_omp,25,8,18
block_omp,25,16,10
block_omp,25,32,8
block_omp,25,64,7
block_omp,25,128,8
block_stl,25,1,103
block_stl,25,2,77
block_stl,25,4,38
block_stl,25,8,20
block_stl,25,16,15
block_stl,25,32,16
block_stl,25,64,22
block_stl,25,128,35
circ_cilk,25,1,624
circ_cilk,25,2,325
circ_cilk,25,4,169
circ_cilk,25,8,112
circ_cilk,25,16,107
circ_cilk,25,32,89
circ_cilk,25,64,114
circ_cilk,25,128,197
circ_ff,25,1,663
circ_ff,25,2,392
circ_ff,25,4,212
circ_ff,25,8,134
circ_ff,25,16,100
circ_ff,25,32,102
circ_ff,25,64,106
circ_ff,25,128,156
circ_omp,25,1,603
circ_omp,25,2,314
circ_omp,25,4,160
circ_omp,25,8,90
circ_omp,25,16,50
circ_omp,25,32,45
circ_omp,25,64,33
circ_omp,25,128,28
circ_stl,25,1,642
circ_stl,25,2,341
circ_stl,25,4,184
circ_stl,25,8,137
circ_stl,25,16,100
circ_stl,25,32,152
circ_stl,25,64,212
circ_stl,25,128,343
seq_stl,25,1,89
block_cilk,26,1,194
block_cilk,26,2,137
block_cilk,26,4,80
block_cilk,26,8,85
block_cilk,26,16,77
block_cilk,26,32,59
block_cilk,26,64,91
block_cilk,26,128,118
block_ff,26,1,243
block_ff,26,2,191
block_ff,26,4,124
block_ff,26,8,87
block_ff,26,16,72
block_ff,26,32,70
block_ff,26,64,84
block_ff,26,128,120
block_omp,26,1,178
block_omp,26,2,137
block_omp,26,4,69
block_omp,26,8,36
block_omp,26,16,20
block_omp,26,32,16
block_omp,26,64,14
block_omp,26,128,12
block_stl,26,1,186
block_stl,26,2,140
block_stl,26,4,70
block_stl,26,8,38
block_stl,26,16,25
block_stl,26,32,20
block_stl,26,64,26
block_stl,26,128,44
circ_cilk,26,1,1245
circ_cilk,26,2,647
circ_cilk,26,4,334
circ_cilk,26,8,228
circ_cilk,26,16,190
circ_cilk,26,32,132
circ_cilk,26,64,184
circ_cilk,26,128,218
circ_ff,26,1,1271
circ_ff,26,2,736
circ_ff,26,4,408
circ_ff,26,8,242
circ_ff,26,16,161
circ_ff,26,32,139
circ_ff,26,64,137
circ_ff,26,128,189
circ_omp,26,1,1208
circ_omp,26,2,626
circ_omp,26,4,321
circ_omp,26,8,169
circ_omp,26,16,101
circ_omp,26,32,85
circ_omp,26,64,57
circ_omp,26,128,52
circ_stl,26,1,1244
circ_stl,26,2,652
circ_stl,26,4,346
circ_stl,26,8,217
circ_stl,26,16,177
circ_stl,26,32,175
circ_stl,26,64,256
circ_stl,26,128,399
seq_stl,26,1,180
block_cilk,27,1,378
block_cilk,27,2,278
block_cilk,27,4,156
block_cilk,27,8,128
block_cilk,27,16,147
block_cilk,27,32,96
block_cilk,27,64,116
block_cilk,27,128,139
block_ff,27,1,430
block_ff,27,2,326
block_ff,27,4,195
block_ff,27,8,125
block_ff,27,16,90
block_ff,27,32,81
block_ff,27,64,90
block_ff,27,128,123
block_omp,27,1,363
block_omp,27,2,276
block_omp,27,4,140
block_omp,27,8,72
block_omp,27,16,40
block_omp,27,32,31
block_omp,27,64,24
block_omp,27,128,22
block_stl,27,1,370
block_stl,27,2,275
block_stl,27,4,140
block_stl,27,8,75
block_stl,27,16,45
block_stl,27,32,31
block_stl,27,64,35
block_stl,27,128,49
circ_cilk,27,1,2525
circ_cilk,27,2,1310
circ_cilk,27,4,671
circ_cilk,27,8,447
circ_cilk,27,16,380
circ_cilk,27,32,235
circ_cilk,27,64,217
circ_cilk,27,128,265
circ_ff,27,1,2524
circ_ff,27,2,1405
circ_ff,27,4,772
circ_ff,27,8,432
circ_ff,27,16,270
circ_ff,27,32,205
circ_ff,27,64,182
circ_ff,27,128,227
circ_omp,27,1,2457
circ_omp,27,2,1272
circ_omp,27,4,653
circ_omp,27,8,344
circ_omp,27,16,207
circ_omp,27,32,160
circ_omp,27,64,126
circ_omp,27,128,106
circ_stl,27,1,2473
circ_stl,27,2,1295
circ_stl,27,4,675
circ_stl,27,8,390
circ_stl,27,16,280
circ_stl,27,32,251
circ_stl,27,64,301
circ_stl,27,128,438
seq_stl,27,1,366
block_cilk,28,1,750
block_cilk,28,2,565
block_cilk,28,4,295
block_cilk,28,8,236
block_cilk,28,16,269
block_cilk,28,32,177
block_cilk,28,64,215
block_cilk,28,128,208
block_ff,28,1,831
block_ff,28,2,618
block_ff,28,4,359
block_ff,28,8,203
block_ff,28,16,136
block_ff,28,32,105
block_ff,28,64,108
block_ff,28,128,141
block_omp,28,1,750
block_omp,28,2,562
block_omp,28,4,288
block_omp,28,8,156
block_omp,28,16,85
block_omp,28,32,56
block_omp,28,64,46
block_omp,28,128,39
block_stl,28,1,760
block_stl,28,2,566
block_stl,28,4,294
block_stl,28,8,153
block_stl,28,16,86
block_stl,28,32,54
block_stl,28,64,49
block_stl,28,128,57
circ_cilk,28,1,5095
circ_cilk,28,2,2647
circ_cilk,28,4,1358
circ_cilk,28,8,854
circ_cilk,28,16,761
circ_cilk,28,32,464
circ_cilk,28,64,310
circ_cilk,28,128,392
circ_ff,28,1,5026
circ_ff,28,2,2791
circ_ff,28,4,1501
circ_ff,28,8,825
circ_ff,28,16,489
circ_ff,28,32,357
circ_ff,28,64,273
circ_ff,28,128,318
circ_omp,28,1,4951
circ_omp,28,2,2577
circ_omp,28,4,1325
circ_omp,28,8,759
circ_omp,28,16,430
circ_omp,28,32,296
circ_omp,28,64,236
circ_omp,28,128,203
circ_stl,28,1,4992
circ_stl,28,2,2608
circ_stl,28,4,1355
circ_stl,28,8,756
circ_stl,28,16,481
circ_stl,28,32,374
circ_stl,28,64,379
circ_stl,28,128,512
seq_stl,28,1,752
block_cilk,29,1,1560
block_cilk,29,2,1178
block_cilk,29,4,623
block_cilk,29,8,541
block_cilk,29,16,483
block_cilk,29,32,343
block_cilk,29,64,286
block_cilk,29,128,226
block_ff,29,1,1670
block_ff,29,2,1245
block_ff,29,4,711
block_ff,29,8,399
block_ff,29,16,252
block_ff,29,32,190
block_ff,29,64,201
block_ff,29,128,232
block_omp,29,1,1555
block_omp,29,2,1169
block_omp,29,4,601
block_omp,29,8,330
block_omp,29,16,179
block_omp,29,32,121
block_omp,29,64,117
block_omp,29,128,117
block_stl,29,1,1571
block_stl,29,2,1176
block_stl,29,4,609
block_stl,29,8,322
block_stl,29,16,181
block_stl,29,32,124
block_stl,29,64,119
block_stl,29,128,119
circ_cilk,29,1,10631
circ_cilk,29,2,5515
circ_cilk,29,4,2834
circ_cilk,29,8,1717
circ_cilk,29,16,1326
circ_cilk,29,32,845
circ_cilk,29,64,617
circ_cilk,29,128,588
circ_ff,29,1,10416
circ_ff,29,2,5718
circ_ff,29,4,3058
circ_ff,29,8,1677
circ_ff,29,16,979
circ_ff,29,32,644
circ_ff,29,64,574
circ_ff,29,128,613
circ_omp,29,1,10340
circ_omp,29,2,5362
circ_omp,29,4,2887
circ_omp,29,8,1514
circ_omp,29,16,891
circ_omp,29,32,576
circ_omp,29,64,513
circ_omp,29,128,486
circ_stl,29,1,10323
circ_stl,29,2,5415
circ_stl,29,4,2810
circ_stl,29,8,1553
circ_stl,29,16,951
circ_stl,29,32,661
circ_stl,29,64,594
circ_stl,29,128,723
seq_stl,29,1,1565
